"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","change"
0.623585772623004,5.70596089010695,1.11562721349116,0.267491956360097,0.999787828752053,-4.5921905583701,"0610009B22Rik","Not Sig"
0.235251755899377,3.61976641696957,0.399808351534977,0.690225891153461,0.999787828752053,-4.60603757371076,"Sanbr","Not Sig"
0.843280859809844,5.15680157351673,1.47504571224923,0.143619815698225,0.999787828752053,-4.58055638521719,"0610010K14Rik","Not Sig"
0.729248902446173,4.74606428717424,1.38164688255107,0.170431557610912,0.999787828752053,-4.58386676915646,"0610012G03Rik","Not Sig"
0.504673609094144,5.71480434634223,0.867454291568285,0.387953726795034,0.999787828752053,-4.59843304879701,"0610030E20Rik","Not Sig"
0.568151941454717,4.47055162053196,0.957132002304199,0.34101308234982,0.999787828752053,-4.59635034438476,"0610040J01Rik","Not Sig"
0.0390915974280235,4.27467579448072,0.0641436090083719,0.948995267301405,0.999787828752053,-4.60805197461581,"1110002E22Rik","Not Sig"
0.881254917248015,5.90240127899613,1.50022907661786,0.136984633681601,0.999787828752053,-4.57963008012117,"1110004F10Rik","Not Sig"
0.360598778100982,5.40681710706476,0.448406499305612,0.654915836908275,0.999787828752053,-4.60550549671931,"Bbln","Not Sig"
0.36748578134777,5.31869015877882,0.503573244360592,0.615766879892063,0.999787828752053,-4.60482829602215,"Eola1","Not Sig"
0.324141704384767,5.43043380341827,0.396249525845632,0.692839965907442,0.999787828752053,-4.60607415891492,"1110017D15Rik","Not Sig"
-0.108009270499328,4.85759130570561,-0.191919136404707,0.84822919049739,0.999787828752053,-4.60762820012386,"1110025L11Rik","Not Sig"
0.502462992793382,5.7532572707542,0.705658011699716,0.482186676910129,0.999787828752053,-4.60168724684164,"1110032A03Rik","Not Sig"
0.189123855851061,5.57233604347349,0.2076468721263,0.835964392233111,0.999787828752053,-4.60754683964995,"1110032F04Rik","Not Sig"
0.613233749682365,5.92177849781689,0.889533353126868,0.376040309126776,0.999787828752053,-4.59793861813711,"1110038F14Rik","Not Sig"
0.268792179394339,5.28703540721171,0.490104458452849,0.625228610914405,0.999787828752053,-4.60500080197879,"1110051M20Rik","Not Sig"
0.377237104825491,4.97187000985704,0.70390983986715,0.483269606347458,0.999787828752053,-4.60171883885715,"1110059E24Rik","Not Sig"
0.154742985251501,4.66613417586566,0.278187325455275,0.781493817778787,0.999787828752053,-4.60710333734416,"1110059G10Rik","Not Sig"
0.231159660387334,7.0143436269032,0.399517073076694,0.690439704229922,0.999787828752053,-4.6060405802993,"1110065P20Rik","Not Sig"
0.122062219655207,4.94190820718987,0.22308332454785,0.823966013444362,0.999787828752053,-4.60746076976722,"1190007I07Rik","Not Sig"
0.353972831633525,4.19234203872996,0.615507247888898,0.539741887564044,0.999787828752053,-4.60321613479867,"1300017J02Rik","Not Sig"
0.392999002387617,3.92627521470097,0.668629018040212,0.50540905915613,0.999787828752053,-4.60234000373874,"1500009C09Rik","Not Sig"
0.150019314435866,5.53136900713588,0.162520565239199,0.871252936990454,0.999787828752053,-4.60776312910955,"1500009L16Rik","Not Sig"
0.320879330212652,6.3902097265134,0.418002681758473,0.676920753355248,0.999787828752053,-4.60584545899468,"1520401A03Rik","Not Sig"
0.569029835203473,5.13323594849609,1.03903272709477,0.301516915949435,0.999787828752053,-4.59427662056006,"1600012H06Rik","Not Sig"
0.0134792452911174,5.58855967528161,0.0280141675215752,0.977711627867926,0.999787828752053,-4.60809511680614,"1600014C10Rik","Not Sig"
0.569893622071548,5.43368679562343,0.430562689830623,0.667794998682405,0.999787828752053,-4.60570788769441,"1600014C23Rik","Not Sig"
0.0283689745340139,4.24135971954861,0.0489156983167498,0.961092685224755,0.999787828752053,-4.60807428197144,"1700001C19Rik","Not Sig"
0.591455202263352,6.1031760110542,0.403694242599174,0.687375860660039,0.999787828752053,-4.60599725521899,"1700001K19Rik","Not Sig"
0.491796550124993,5.43631877190446,0.516488434541228,0.60675458207268,0.999787828752053,-4.60465853666716,"1700001L19Rik","Not Sig"
0.553356964216421,4.71062562611849,0.684884031641834,0.495141750690733,0.999787828752053,-4.60205770038915,"1700001O22Rik","Not Sig"
0.0535840048396192,4.7986642769351,0.0950507620234963,0.924481560864711,0.999787828752053,-4.60798822799625,"1700001P01Rik","Not Sig"
-0.0408390029684673,4.80390124234864,-0.064771436382546,0.94849674304892,0.999787828752053,-4.60805092595054,"1700003E16Rik","Not Sig"
0.187503002168271,4.62935286800001,0.257878866013045,0.797077286690505,0.999787828752053,-4.60724418702584,"1700003F12Rik","Not Sig"
-0.239689959592414,3.89801658128764,-0.409328795258159,0.683251325566621,0.999787828752053,-4.60593810548794,"1700003H04Rik","Not Sig"
0.157054458965374,4.15969655095957,0.236083494623484,0.813893511521949,0.999787828752053,-4.60738350899233,"1700006A11Rik","Not Sig"
-0.108952852739306,4.97365452825913,-0.141747217499607,0.887590111541787,0.999787828752053,-4.60784499014709,"1700007K13Rik","Not Sig"
0.161240701114659,4.5600529372081,0.270901087458358,0.787074942557387,0.999787828752053,-4.60715509492722,"1700008O03Rik","Not Sig"
0.00838060694953047,4.66721155348801,0.0111959363686874,0.991091403286669,0.999787828752053,-4.60810366168446,"1700008P02Rik","Not Sig"
0.390539329781038,4.64214440791802,0.554929930830014,0.580291449754272,0.999787828752053,-4.60412812523147,"1700009N14Rik","Not Sig"
0.87663918479771,5.40077424668172,0.710450970496587,0.479224501800572,0.999787828752053,-4.60160023774665,"1700010B08Rik","Not Sig"
0.168233542101626,4.25226768668117,0.277637117410409,0.781914872075628,0.999787828752053,-4.60710729352104,"1700010I14Rik","Not Sig"
0.062182437891412,4.51959444083111,0.0950826343676951,0.924456315114466,0.999787828752053,-4.60798814948717,"1700011L22Rik","Not Sig"
-0.231587514487407,4.34822106325823,-0.402129743212776,0.68852277192593,0.999787828752053,-4.6060135344275,"1700012A03Rik","Not Sig"
0.137811001593107,4.14510238093146,0.273381759890122,0.78517352850582,0.999787828752053,-4.60713762726498,"1700012B07Rik","Not Sig"
0.187535761372509,4.15814579055056,0.332107248343227,0.740564936421953,0.999787828752053,-4.60667779279873,"1700012B09Rik","Not Sig"
-0.163459794042768,4.62281683779755,-0.260318889346622,0.79520047358884,0.999787828752053,-4.60722782659049,"1700012P22Rik","Not Sig"
0.0391853824873083,4.54141063854441,0.0683735039309003,0.945636935300451,0.999787828752053,-4.60804471201219,"1700013D24Rik","Not Sig"
0.454474858288072,4.84019641504935,0.79928515437301,0.426187156768638,0.999787828752053,-4.59988354819542,"1700013F07Rik","Not Sig"
0.484671320632312,5.29485036021333,0.461231499483371,0.645722864829912,0.999787828752053,-4.60535499949102,"1700013G24Rik","Not Sig"
0.356567919004101,3.92039437010814,0.600267914121643,0.549805843134608,0.999787828752053,-4.60345431617604,"1700013H16Rik","Not Sig"
-0.0909037709393878,4.19963289983431,-0.157197180055253,0.875434480652478,0.999787828752053,-4.60778517095051,"Pttg1ip2","Not Sig"
-0.0562153780822587,4.13856449455504,-0.0962624291891273,0.923521866613743,0.999787828752053,-4.6079852248626,"1700015G11Rik","Not Sig"
0.0542904753911779,3.73281248140532,0.0902873473061526,0.928255466660652,0.999787828752053,-4.60799966559162,"1700016C15Rik","Not Sig"
0.229969466536873,4.82791151213392,0.337480444815677,0.736524754165437,0.999787828752053,-4.60663128495248,"1700016D06Rik","Not Sig"
0.227396568011197,4.12419638691214,0.405948262205288,0.685724757734729,0.999787828752053,-4.60597369093161,"1700016H13Rik","Not Sig"
0.0724545451907455,5.04704825513097,0.10644368375327,0.915462467212558,0.999787828752053,-4.60795848840703,"1700016K19Rik","Not Sig"
0.191459307875747,5.07161648441117,0.330340317481837,0.74189511367371,0.999787828752053,-4.60669292420663,"1700017B05Rik","Not Sig"
-0.0943005015861917,4.13134231502922,-0.153668816589109,0.878207983243834,0.999787828752053,-4.60779937632961,"1700017N19Rik","Not Sig"
0.890523358178823,4.70959369439102,1.22643571868286,0.223169450204837,0.999787828752053,-4.58892491938292,"1700018B08Rik","Not Sig"
0.150011711775214,4.45215892750518,0.248193738147459,0.804538543203019,0.999787828752053,-4.60730761083104,"1700018F24Rik","Not Sig"
0.310564334461905,4.20019606622805,0.552807749451567,0.581737931829135,0.999787828752053,-4.60415838685497,"1700018G05Rik","Not Sig"
0.195802196351981,3.91293214286481,0.327931597484059,0.743709703701309,0.999787828752053,-4.60671342226701,"1700019A02Rik","Not Sig"
-0.185693939663521,4.48460148267101,-0.328072418418497,0.743603577432269,0.999787828752053,-4.60671222799897,"1700019D03Rik","Not Sig"
0.114098863327662,4.11062517925217,0.202397822882779,0.840053356834941,0.999787828752053,-4.60757470415276,"1700019N19Rik","Not Sig"
0.658960330763455,5.67304779565919,0.555853132279229,0.579662729358168,0.999787828752053,-4.60411492496143,"1700020A23Rik","Not Sig"
0.120095100827912,4.1458751220363,0.213086679267825,0.831731579235481,0.999787828752053,-4.60751721116917,"Nscme3l","Not Sig"
0.35335018911508,4.75648397334834,0.594625846934526,0.553555528314529,0.999787828752053,-4.60354100709061,"1700020L24Rik","Not Sig"
-0.000370705820761152,4.06630802552987,-0.000606135407318935,0.999517688434089,0.999787828752053,-4.60810528117078,"1700020N01Rik","Not Sig"
0.335164938259211,4.22343286996727,0.551231104745191,0.582813683139045,0.999787828752053,-4.60418079521251,"1700020N15Rik","Not Sig"
0.55054856418496,5.57637404831596,0.379797227040562,0.704972664998697,0.999787828752053,-4.60623906675173,"1700021F07Rik","Not Sig"
0.338844704988724,5.66581862416588,0.318760019009674,0.750632209964681,0.999787828752053,-4.60679010498282,"1700022I11Rik","Not Sig"
-0.172401155173175,4.61774622853083,-0.247681191436702,0.804933911637653,0.999787828752053,-4.60731089983016,"1700024G13Rik","Not Sig"
