"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Qrfpr","Qrfpr","neonate",0.394549578636712,0.124320052549978,32759,0.513842485843803,0.266474791604675,0.519248725861514,9.66542750929368,7.17299578059072
"Ltf","Ltf","neonate",0.189376373782817,0.124103396028675,32883,0.515787492353301,0.0495727162759671,0.217425113378746,4.83271375464684,1.68776371308017
"Oasl1","Oasl1","neonate",0.267212653234032,0.123658650805449,32917,0.516320800589776,0.0976522145575923,0.29597787278224,6.69144981412639,3.37552742616034
"Ezr","Ezr","neonate",0.748163044014568,0.123288890331812,32866.5,0.515528681003247,0.35910185055457,0.615162448458602,18.5873605947955,15.6118143459916
"Ppara","Ppara","neonate",0.241882299339715,0.123236051740146,32834,0.515018901071322,0.106173047735942,0.308508954582027,5.94795539033457,2.9535864978903
"Il15","Il15","neonate",0.252426482366002,0.122900774798171,32925.5,0.516454127648895,0.082815296431825,0.272980988262063,6.31970260223048,2.9535864978903
"Ptgs1","Ptgs1","neonate",0.22482793442634,0.122611063931598,32848.5,0.515246341348642,0.0867120720813965,0.275840209708367,5.57620817843866,2.53164556962025
"Mrc2","Mrc2","neonate",0.716740575312033,0.122057734716231,32842,0.515144385362257,0.35698464652978,0.612588111170725,17.4721189591078,14.3459915611814
"Angpt1","Angpt1","neonate",0.221790128596378,0.121353704704654,32840.5,0.515120857057707,0.0893386868508496,0.281869211361699,5.57620817843866,2.53164556962025
"Gadd45b","Gadd45b","neonate",0.463482967823613,0.121200570746458,32932,0.51655608363528,0.214440948910496,0.455535194202544,11.5241635687732,8.0168776371308
"Cd40","Cd40","neonate",0.20096168767983,0.120427794826872,32863,0.515473781625963,0.068132737650361,0.249736542049301,5.20446096654275,2.10970464135021
"Krt4","Krt4","neonate",0.244848343560309,0.120257935139737,32925,0.516446284880712,0.0829621258208677,0.272980988262063,6.31970260223048,2.9535864978903
"Itga9","Itga9","neonate",0.256135985944761,0.119636808513077,32917.5,0.51632864335796,0.0974912549406517,0.29597787278224,6.69144981412639,3.37552742616034
"Bmp2","Bmp2","neonate",0.20411812297532,0.11961624892496,32866,0.515520838235063,0.0672981039371349,0.248556416075484,5.20446096654275,2.10970464135021
"Igf1","Igf1","neonate",0.403084937490761,0.119560334402077,32803,0.514532649443948,0.248298597975277,0.490205350854161,10.0371747211896,7.17299578059072
"Oas3","Oas3","neonate",0.177475815683337,0.11948123347101,32775.5,0.514101297193858,0.0709227273312594,0.257127124179148,4.46096654275093,1.68776371308017
"Adgrl2","Adgrl2","neonate",0.374397630559588,0.119339484002669,32825,0.51487773124402,0.216985558465028,0.457241722955981,9.29368029739777,6.32911392405063
"Abl1","Abl1","neonate",0.593311137324613,0.118959137096323,32721.5,0.513254278230044,0.385384175432207,0.641449120043256,14.4981412639405,12.2362869198312
"Pou5f1","Pou5f1","neonate",0.246410777878796,0.118640536288418,32717.5,0.513191536084576,0.164384436065335,0.39153852795296,5.94795539033457,3.37552742616034
"Apod","Apod","neonate",0.319903440857027,0.117997532191815,32767,0.513967970134739,0.205131834004213,0.448801133011549,7.80669144981413,5.06329113924051
"Ngfr","Ngfr","neonate",0.441265435180318,0.117493391801692,32863,0.515473781625963,0.241664513665208,0.48205847590618,11.1524163568773,8.0168776371308
"Scgb3a1","Scgb3a1","neonate",0.283688002039416,0.117098051540132,32785.5,0.514258152557527,0.169388899243008,0.398303614493583,7.0631970260223,4.21940928270042
"Smad4","Smad4","neonate",0.59353317164012,0.117010388976033,32776.5,0.514116982730224,0.352130839003255,0.611627955550951,14.4981412639405,11.8143459915612
"Dmbt1","Dmbt1","neonate",0.295470144733669,0.116548926603956,32688,0.512728812761752,0.227319926196233,0.470203249829138,7.0631970260223,4.64135021097046
"Lifr","Lifr","neonate",0.326536224280202,0.116294469056085,32766,0.513952284598372,0.205641363642246,0.448801133011549,7.80669144981413,5.06329113924051
"Cav1","Cav1","neonate",0.317024866874612,0.116188932379146,32764,0.513920913525638,0.20666300807762,0.449828130211146,7.80669144981413,5.06329113924051
"Clec5a","Clec5a","neonate",0.170821440262427,0.115817041264555,32883,0.515787492353301,0.0369536448999617,0.177984463600299,4.46096654275093,1.26582278481013
"Tnfrsf17","Tnfrsf17","neonate",0.251451924371629,0.115573649032238,32921,0.516383542735244,0.0841435186112237,0.274153882533954,6.31970260223048,2.9535864978903
"Mertk","Mertk","neonate",0.276174037192947,0.113804883650174,32692,0.51279155490722,0.210095663005568,0.450533976507659,6.69144981412639,4.21940928270042
"Ahi1","Ahi1","neonate",0.178269111792341,0.113535859945527,32766.5,0.513960127366555,0.0737950408574535,0.260904588832939,4.46096654275093,1.68776371308017
"Fgr","Fgr","neonate",0.529943742290089,0.112911589941796,32767.5,0.513975812902922,0.330268207283277,0.596154938186768,13.0111524163569,10.126582278481
"Ankrd42","Ankrd42","neonate",0.18200564029424,0.111006429770744,32760.5,0.513866014148354,0.0757622391511411,0.263995294779847,4.46096654275093,1.68776371308017
"Yes1","Yes1","neonate",0.258904665631241,0.110858012971279,32696,0.512854297052688,0.192107204831469,0.431375863101294,6.31970260223048,3.79746835443038
