"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Sell","Sell","neonate",1.74965000475604,1.15041477566948,77820,0.623317954632834,1.65803869149986e-14,4.1326614385634e-12,36.7647058823529,13.5076252723312
"Klf2","Klf2","neonate",1.81682059474959,1.08145755392031,77686.5,0.622248654363706,6.69997852730968e-13,1.33597571834555e-10,41.5441176470588,16.557734204793
"Pecam1","Pecam1","neonate",1.12494515280137,0.662009519700662,72500,0.580706138664616,3.20371293128077e-08,2.15151345686861e-06,27.2058823529412,11.5468409586057
"Ccr7","Ccr7","neonate",1.02026953508599,0.659589570840478,71796.5,0.575071286684608,1.50360297098971e-08,1.3628110564334e-06,23.1617647058824,8.27886710239651
"Ighm","Ighm","neonate",0.90985267033289,0.622441637192404,71423,0.572079648853005,6.69528937631352e-09,7.41689278687175e-07,20.9558823529412,6.5359477124183
"Tnfrsf14","Tnfrsf14","neonate",1.6562216626381,0.592835188768599,70847,0.567466038703063,0.000143170443837359,0.00432548280320749,37.1323529411765,24.400871459695
"Acp5","Acp5","neonate",1.13774025905994,0.585877406355125,71071,0.56926022042804,3.20027981021939e-06,0.000151937093847082,26.8382352941176,13.0718954248366
"Bcl2","Bcl2","neonate",1.17595575185189,0.571347180698722,70592,0.565423555042932,1.37757088001366e-05,0.000597147029292878,26.8382352941176,13.9433551198257
"Cd53","Cd53","neonate",1.74168422749312,0.569264173773439,70566,0.565215301806997,0.000353444443212249,0.00850196120405939,40.0735294117647,26.797385620915
"Fyb","Fyb","neonate",1.69351453142844,0.566796434317834,70676.5,0.566100378059721,0.000270797356725397,0.00720127356238238,38.9705882352941,26.5795206971678
"Ezr","Ezr","neonate",1.34826551549788,0.562800747671047,70859,0.567562155581187,4.09968986458782e-05,0.00151384844259039,31.9852941176471,18.7363834422658
"Hsp90ab1","Hsp90ab1","neonate",1.58339279195271,0.561587099897919,70888.5,0.567798442906574,0.000139392634997721,0.00432548280320749,37.8676470588235,24.400871459695
"Hmgb2","Hmgb2","neonate",1.5682913609405,0.5488401227429,70132.5,0.561743079584775,0.000366684384929342,0.00850196120405939,33.8235294117647,23.3115468409586
"Ets1","Ets1","neonate",2.06935397623345,0.545123224533917,71293,0.571038382673331,0.000271378194243608,0.00720127356238238,45.9558823529412,35.7298474945534
"Ppia","Ppia","neonate",4.06832395269899,0.506436711255213,71655.5,0.573941913366654,0.000761001356276271,0.0128596330882617,81.9852941176471,73.4204793028322
"Tcf7","Tcf7","neonate",0.760538911572242,0.485272873676572,69473,0.556460656157888,1.42351696323207e-06,8.34850830789633e-05,17.6470588235294,6.10021786492375
"Arhgdib","Arhgdib","neonate",1.55863130153001,0.478253704391602,69792,0.559015763168012,0.000948436985119265,0.0152514786155469,36.3970588235294,25.7080610021786
"Cdh5","Cdh5","neonate",1.14419592338345,0.471645044490954,69319,0.555227156221966,0.000385517617016557,0.00854135698145573,26.8382352941176,16.557734204793
"Cd27","Cd27","neonate",1.33454494288192,0.466823714863873,69236.5,0.554566352684865,0.00107092756726792,0.0166830435088455,31.25,20.479302832244
"Xcl1","Xcl1","neonate",0.544576135236646,0.466787672910818,69271.5,0.554846693579393,1.75598689937907e-09,2.18839867335117e-07,12.8676470588235,1.96078431372549
"Hsp90aa1","Hsp90aa1","neonate",0.90182396347143,0.463974250392194,69549.5,0.557073401255927,2.67563679166913e-05,0.00102600380049774,22.0588235294118,10.239651416122
"Chil1","Chil1","neonate",0.719956787185869,0.457151779782162,69262.5,0.5547746059208,2.90129444326035e-06,0.000146510396217948,17.2794117647059,6.31808278867102
"Stmn1","Stmn1","neonate",1.34079591656596,0.442684564082965,68995,0.552632000512623,0.00171235505588587,0.0237113609821974,30.8823529411765,21.3507625272331
"Cd93","Cd93","neonate",0.789559332995485,0.435576902846566,68846.5,0.551442554145841,4.55607443246817e-05,0.0016222879318467,18.75,8.49673202614379
"Adgrg5","Adgrg5","neonate",0.802263135569564,0.424900957245549,68621.5,0.54964036268102,9.7391289322383e-05,0.00323663718181386,18.75,8.93246187363835
"Cxcr4","Cxcr4","neonate",0.627939019884983,0.421536558221678,68871,0.551638792772011,2.61591980429718e-06,0.000144892891382461,15.4411764705882,5.22875816993464
"Eno1/b","Eno1/b","neonate",1.08226334548456,0.409980768757313,68659.5,0.549944732795079,0.00121229365027818,0.0182631527716438,26.4705882352941,16.1220043572985
"Gata3","Gata3","neonate",0.679368766891363,0.402066069255654,68692.5,0.550209054209919,2.0183843248219e-05,0.000838470488269766,16.9117647058824,6.75381263616558
"Btf3","Btf3","neonate",1.00540579071154,0.401693239081806,68657.5,0.549928713315392,0.000815894236197368,0.0135574425581463,24.6323529411765,14.5969498910675
"Cd69","Cd69","neonate",0.922023749704271,0.401678435659893,68481.5,0.548518999102909,0.000558657780915981,0.0103669989008142,22.0588235294118,12.2004357298475
"Eif5a","Eif5a","neonate",1.74196038719691,0.39992690812943,68396,0.547834166346277,0.0108865732985804,0.0833581716478406,40.0735294117647,31.5904139433551
"Txk","Txk","neonate",0.810843845845229,0.388179568900866,68012,0.544758426246316,0.000561502447987931,0.0103669989008142,18.75,9.80392156862745
"Sod1","Sod1","neonate",1.97832112074216,0.379991217872239,67762.5,0.542759996155325,0.0293119960032167,0.152731927288212,45.9558823529412,37.037037037037
"Mif","Mif","neonate",1.57110387491699,0.379720778617519,68510.5,0.548751281558375,0.00740243628946588,0.0677085227577751,36.0294117647059,28.7581699346405
"Cd3d","Cd3d","neonate",2.42511047742889,0.367537340928583,67323.5,0.539243720363963,0.0566028315876413,0.227552512471284,54.0441176470588,45.9694989106754
"Myl12a","Myl12a","neonate",1.29491540768917,0.363726552998295,68058,0.545126874279123,0.00763843519414462,0.068608287284344,30.5147058823529,22.4400871459695
