"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Trp53","Trp53","neonate",0.533299435323492,0.129656257296406,223551.5,0.515939670890166,0.0791408818801989,0.363610411219163,13.0536130536131,9.7029702970297
"Adm2","Adm2","neonate",0.892130829830919,0.12936021631078,222873.5,0.514374899028364,0.201583746566876,0.548632867612223,20.8624708624709,17.8217821782178
"H2-Q10","H2-Q10","neonate",0.713185312649138,0.128708414954826,223362,0.515502319462716,0.131418601672567,0.464147902574413,17.016317016317,13.6633663366337
"Il24","Il24","neonate",0.231071832814159,0.127559936206225,223432.5,0.515665028041266,0.00739198451889767,0.0867036301804821,5.71095571095571,2.57425742574257
"Ctla4","Ctla4","neonate",0.336189530054394,0.12733379563427,223499,0.515818504927416,0.0307471815796738,0.214370210034509,8.50815850815851,5.34653465346535
"Itgb1","Itgb1","neonate",0.396803996817946,0.126640935763312,223296,0.515349996538115,0.0520204799372279,0.288135658318979,9.79020979020979,6.73267326732673
"Cd47","Cd47","neonate",1.56516755855944,0.126287539841666,221941,0.512222760737612,0.375002748925367,0.700145581795113,36.2470862470862,32.4752475247525
"Itga6","Itga6","neonate",0.457256856754574,0.125871495214131,223467.5,0.515745805349766,0.0615982888468561,0.307067469901578,11.1888111888112,7.92079207920792
"Il15ra","Il15ra","neonate",0.86787286179473,0.125684519152822,222792,0.514186803295714,0.200742282150171,0.54832891864033,20.1631701631702,17.029702970297
"Sla","Sla","neonate",0.624370822664837,0.125580290952763,222677,0.513921392139214,0.155348978320671,0.488589688913908,15.034965034965,12.4752475247525
"Col27a1","Col27a1","neonate",0.23280396119442,0.125301777812346,222855,0.514332202451014,0.0142568873811318,0.131612191842486,5.59440559440559,2.77227722772277
"Spink1","Spink1","neonate",0.486073274966844,0.125108851897048,223183,0.515089201227815,0.0836104837900902,0.377192997007782,11.8881118881119,8.91089108910891
"Pax5","Pax5","neonate",1.0894418883784,0.124982538118122,222591,0.513722910752614,0.258496794609488,0.602170147693149,25.1748251748252,22.1782178217822
"Tnf","Tnf","neonate",0.618782235924149,0.124502276916843,222438,0.513369798518313,0.171428398570803,0.517921555682093,14.9184149184149,12.4752475247525
"Acvrl1","Acvrl1","neonate",0.704361394394897,0.12355121229014,222877,0.514382976759214,0.15752775894575,0.490797423965353,16.5501165501165,13.4653465346535
"Spry4","Spry4","neonate",0.285266662180788,0.122855175113674,223376.5,0.515535784347666,0.0192462439907837,0.162614451345859,7.10955710955711,3.96039603960396
"Csf2ra","Csf2ra","neonate",0.965244068138427,0.122779664387256,222864,0.514352973758914,0.219265360167131,0.566340839602667,22.8438228438228,19.8019801980198
"Fgr","Fgr","neonate",0.374275064105431,0.122622774528295,222905,0.514447598606014,0.0600340839236647,0.306893532663695,9.20745920745921,6.33663366336634
"Dusp2","Dusp2","neonate",0.913485204640768,0.121832051259879,222586.5,0.513712525098664,0.22450033109483,0.573914948978323,20.979020979021,18.019801980198
"Tnfrsf21","Tnfrsf21","neonate",0.337892140002226,0.121480078906432,223551.5,0.515939670890166,0.0279970820908374,0.205243315033565,8.39160839160839,5.14851485148515
"Smo","Smo","neonate",0.267094907484728,0.121102159923642,222912,0.514463754067714,0.0247337296861405,0.184026332067777,6.64335664335664,3.76237623762376
"Fzd5","Fzd5","neonate",0.5601776428783,0.120052038677679,223542,0.515917745620716,0.086877079662053,0.386680573317263,13.7529137529138,10.2970297029703
"Icos","Icos","neonate",0.258352082643707,0.119837864509843,223185,0.515093817074015,0.0162175474909954,0.144365132576093,6.41025641025641,3.36633663366337
"Rgs2","Rgs2","neonate",0.230666366612175,0.119735421705486,222993,0.514650695838815,0.0129132222990135,0.126115417832993,5.71095571095571,2.77227722772277
"Pgk1","Pgk1","neonate",0.349631333466644,0.119094000556308,222366,0.513203628055113,0.0752822179047636,0.349099401167671,8.50815850815851,5.94059405940594
"Plac8","Plac8","neonate",0.744691370315247,0.118048247766553,221940,0.512220452814512,0.244104380819804,0.59707166453162,17.3659673659674,15.2475247524752
"Fgfr3","Fgfr3","neonate",0.411714098656081,0.117703889237456,223752,0.516402409471716,0.0431189580887338,0.254915814813269,10.4895104895105,6.93069306930693
"S100a10","S100a10","neonate",1.16663455189182,0.116336440893731,222215.5,0.512856285628563,0.30469289988291,0.63819080080517,27.1561771561772,24.5544554455446
"Phlda2","Phlda2","neonate",0.185599585841259,0.11604804959532,222538.5,0.513601744789864,0.00667143302565365,0.0821162805750208,4.31235431235431,1.58415841584158
"Sostdc1","Sostdc1","neonate",0.380680165217946,0.115982468825788,222763,0.514119873525814,0.0716668954515798,0.336673557914827,9.55710955710956,6.73267326732673
"Cd79a","Cd79a","neonate",2.09171588816095,0.115931819778109,220936,0.50990329802211,0.50372948052579,0.78670457477576,46.3869463869464,43.3663366336634
"Ifit1","Ifit1","neonate",0.390961553124052,0.115578393093823,222736.5,0.514058713563664,0.0729048797234035,0.339654977029127,9.55710955710956,6.73267326732673
"Ephb3","Ephb3","neonate",0.185936889063459,0.115516280037768,222780.5,0.514160262180064,0.0078418211570024,0.0882267648477398,4.77855477855478,1.98019801980198
"Itgb5","Itgb5","neonate",0.248324755212669,0.115253370675739,222094,0.512575872971913,0.0382242047106891,0.245133329572192,5.82750582750583,3.36633663366337
"Sorbs1","Sorbs1","neonate",0.757760135931204,0.114998364271678,222650,0.513859078215514,0.193611356935056,0.546343567619845,18.4149184149184,15.2475247524752
"Bmpr2","Bmpr2","neonate",0.723058120168989,0.114859442420323,222523.5,0.513567125943364,0.188469374883701,0.542906682220326,17.1328671328671,13.8613861386139
"Il12a","Il12a","neonate",0.52979291222416,0.114837499581207,222228.5,0.512886288628863,0.156921278626309,0.490797423965353,12.8205128205128,10.2970297029703
"Ntrk2","Ntrk2","neonate",0.18985378087855,0.113433467147435,222821.5,0.514254887027164,0.00635989961378086,0.0809279573811033,4.66200466200466,1.78217821782178
"Selplg","Selplg","neonate",0.57034860230274,0.112527227711127,222369,0.513210551824413,0.157451415136039,0.490797423965353,13.6363636363636,10.8910891089109
"Cd274","Cd274","neonate",0.909825858250191,0.11160899644749,222207,0.512836668282213,0.260949365630388,0.603634611446628,21.6783216783217,18.4158415841584
"Marcksl1","Marcksl1","neonate",0.516166593429154,0.111129379124682,222278,0.513000530822313,0.147658280876961,0.482673134538788,12.4708624708625,9.9009900990099
