"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"H2az1","Adult reinfected",0.175088200613032,-0.698999205876747,781,0.316194331983806,9.68525256959648e-06,0.00321873227062923,8.42105263157895,46.1538461538462
"Tnfsf8","Adult reinfected",0.0995343187315125,-0.736781123215739,816,0.330364372469636,3.96388728691287e-06,0.00197599781252606,5.26315789473684,38.4615384615385
"Stat3","Adult reinfected",0.409033573896196,-0.762573972490452,757.5,0.30668016194332,0.00017010069775572,0.0274272400785254,21.0526315789474,57.6923076923077
"Il15ra","Adult reinfected",0.527749198043947,-0.826644763828977,772,0.312550607287449,0.000437020032212672,0.0484121080128927,24.2105263157895,61.5384615384615
"H2-D1","Adult reinfected",1.08209861493435,-0.907714759693202,698,0.282591093117409,0.000332040762207165,0.0413805799900679,46.3157894736842,73.0769230769231
"Cd74","Adult reinfected",1.33952909814588,-1.30236544685429,631.5,0.255668016194332,7.91340359465474e-05,0.0197241584596769,50.5263157894737,88.4615384615385
"B2m","Adult reinfected",1.80164597259219,-1.40079941284393,510,0.206477732793522,3.93436182606708e-06,0.00197599781252606,66.3157894736842,100
