"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Cd74","Adult RSV infected",3.4154047515807,0.784059528650154,22698.5,0.695739463601533,4.66845629895059e-10,4.65445093005374e-07,91.1877394636015,83.2
"H2-Ab1","Adult RSV infected",1.72372031210225,0.562263408033437,19786.5,0.60648275862069,0.000398705568650782,0.00969535248645926,60.9195402298851,45.6
"Col4a1","Adult RSV infected",0.399153812449164,-0.586245117985734,12240.5,0.375187739463602,2.08960013924697e-07,4.16666267765845e-05,17.6245210727969,41.6
