"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Tert","Adult reinfected",0.0365633478235977,-0.642397294596749,97,0.340350877192982,0.00015121430283141,0.0137055145384469,1.05263157894737,33.3333333333333
"Fgf7","Adult reinfected",0.0260418692553243,-0.652918773165022,97,0.340350877192982,0.00015121430283141,0.0137055145384469,1.05263157894737,33.3333333333333
"Best1","Adult reinfected",0.0224117173839692,-0.656548925036377,97,0.340350877192982,0.00015121430283141,0.0137055145384469,1.05263157894737,33.3333333333333
"Il17rb","Adult reinfected",0,-0.678960642420347,95,0.333333333333333,2.57562386653201e-08,8.55965664977471e-06,0,33.3333333333333
"Ankrd42","Adult reinfected",0.0192199207957633,-0.708489221731298,96,0.336842105263158,0.000107385540890526,0.0137055145384469,1.05263157894737,33.3333333333333
"Col27a1","Adult reinfected",0.0148916124357085,-0.872637663239442,96,0.336842105263158,0.000107385540890526,0.0137055145384469,1.05263157894737,33.3333333333333
"Yes1","Adult reinfected",0,-0.887529275675151,95,0.333333333333333,2.57562386653201e-08,8.55965664977471e-06,0,33.3333333333333
"Mt1","Adult reinfected",0.114310358184833,-1.09690343562696,56,0.196491228070175,7.12069112491307e-05,0.0137055145384469,5.26315789473684,66.6666666666667
"Krt80","Adult reinfected",0.145304540813505,-1.13648595366106,61.5,0.215789473684211,0.000471786858026143,0.0335979641037189,6.31578947368421,66.6666666666667
"Chek2","Adult reinfected",0.10576383696184,-1.17602665751273,55.5,0.194736842105263,0.000172047523682611,0.0142942817592969,6.31578947368421,66.6666666666667
"Xcl1","Adult reinfected",0.029284356449467,-1.18192943736232,50,0.175438596491228,2.04863083021099e-10,2.04248493772035e-07,1.05263157894737,66.6666666666667
"Ifnar2","Adult reinfected",0.109074457600994,-1.3107079694656,54.5,0.191228070175439,0.000144516154818756,0.0137055145384469,6.31578947368421,66.6666666666667
"Mki67","Adult reinfected",0.104258498312122,-1.49538085169115,50.5,0.17719298245614,7.06646607919037e-05,0.0137055145384469,6.31578947368421,66.6666666666667
"H2az1","Adult reinfected",0.175088200613032,-1.65186798464267,51.5,0.180701754385965,0.000381147246675617,0.0292310619181224,8.42105263157895,66.6666666666667
