"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Ccl5","Adult reinfected",3.26396411951428,0.784663750194415,289521.5,0.668545150578901,1.83431603545538e-24,6.0960436244967e-22,84.826883910387,78.4580498866213
"Col1a2","Adult reinfected",0.97112037668019,0.532306775594774,262077.5,0.605173162272377,5.22998120508475e-14,6.51786407683687e-12,39.6130346232179,21.5419501133787
"Lcn2","Adult reinfected",0.16245422496821,-0.502227648740826,169391.5,0.391148380601392,7.87126624422229e-27,7.84765244548962e-24,7.94297352342159,29.2517006802721
