"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Cd74","Adult RSV infected",3.4154047515807,0.975638077622297,23671,0.737345419431206,5.68372763085374e-14,1.41666911199029e-11,91.1877394636015,78.8617886178862
"Fzd8","Adult RSV infected",0.23578788571024,-0.502834259231262,11840.5,0.368828458399527,1.36467504247495e-09,1.51175668594169e-07,9.96168582375479,38.2113821138211
"Dst","Adult RSV infected",0.346131922934992,-0.558624854328255,11716,0.364950316169828,1.15360146685647e-08,9.58450552046581e-07,14.5593869731801,43.9024390243902
