"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"H2-K1","Adult RSV infected",1.24439085280797,0.602362896709229,17626,0.617156862745098,2.12632956029901e-05,0.00050475013609955,47.7941176470588,30
"Ptprc","Adult RSV infected",2.47464870745094,0.573589682308095,21548.5,0.754499299719888,1.26738719111512e-15,6.31792514770889e-13,100,100
"Kir3dl1/2","Adult RSV infected",0.204713364179117,-0.512152240551013,10410.5,0.364513305322129,6.14218348328903e-08,4.37411209488512e-06,11.0294117647059,38.0952380952381
"Ncr1","Adult RSV infected",0.522766289049004,-0.514846646556942,10601,0.371183473389356,6.10560048453105e-06,0.000197212837769491,23.5294117647059,53.3333333333333
"Sorbs1","Adult RSV infected",0.549085553576476,-0.514969897323765,10587.5,0.370710784313726,7.07877096931626e-06,0.000213864686557828,25.7352941176471,54.7619047619048
"Il12b","Adult RSV infected",0.176987907636875,-0.518362502234401,10205.5,0.357335434173669,1.04813585038397e-08,1.30623930354103e-06,9.55882352941176,38.5714285714286
"Tox","Adult RSV infected",0.236829863006944,-0.548205202488504,10230,0.358193277310924,3.93045608754146e-08,3.56242247207167e-06,13.2352941176471,40.9523809523809
"Hdac11","Adult RSV infected",0.569280618576153,-0.559533678364514,10169,0.356057422969188,9.23934294065775e-07,5.1889025373812e-05,29.4117647058824,58.0952380952381
"Adm2","Adult RSV infected",0.714861472545774,-0.571202058976266,10448.5,0.365843837535014,6.41326462140356e-06,0.000199813275860605,31.6176470588235,61.4285714285714
"Lefty1","Adult RSV infected",0.500336611794783,-0.584169475604954,9785,0.342612044817927,5.86727194585564e-08,4.37411209488512e-06,24.2647058823529,58.0952380952381
"Sox4","Adult RSV infected",0.817746414652674,-0.618727005131843,10531,0.368732492997199,1.62050548214994e-05,0.000417712602199653,35.2941176470588,69.5238095238095
"Cd14","Adult RSV infected",0.432121777714282,-0.628581807276236,9695,0.339460784313726,1.63177806556989e-08,1.80764747930353e-06,21.3235294117647,54.2857142857143
"Igf2r","Adult RSV infected",0.403885740546071,-0.632836954428797,9578.5,0.335381652661064,6.15090624403503e-09,8.76064789328988e-07,19.1176470588235,54.7619047619048
"Gata3","Adult RSV infected",0.393903839656142,-0.724590474890976,8979,0.314390756302521,9.78053623807527e-11,1.95023892587221e-08,19.1176470588235,58.0952380952381
"Il20","Adult RSV infected",0.419929510496344,-0.767183862727447,8607,0.301365546218487,9.61034691437337e-12,2.39537896840756e-09,20.5882352941176,61.9047619047619
