"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Ccl5","Adult RSV infected",1.04160741028592,0.731399198255893,11872.5,0.619133291614518,1.35365036700035e-05,0.0012268994689994,34.0425531914894,10.7843137254902
"B2m","Adult RSV infected",2.60788090990273,0.717163572423803,12951,0.675375469336671,7.46651809649266e-07,0.00018610296355508,85.6382978723404,71.5686274509804
"Cd52","Adult RSV infected",1.0959084450671,0.573695318378584,11808.5,0.615795786399666,0.000148048648230286,0.00527158936734268,43.0851063829787,22.5490196078431
"Cd74","Adult RSV infected",0.955581656445679,0.544238891558396,11252,0.586775135586149,0.00169279607049895,0.0251355870648451,31.9148936170213,16.6666666666667
"H2-K1","Adult RSV infected",1.9502099784393,0.518922896453478,11779,0.614257405089696,0.00100542992224371,0.0180865975525562,68.6170212765958,55.8823529411765
"Cdh5","Adult RSV infected",0.494176301125689,-0.534779593587015,7552,0.393825615352524,0.000131340162543005,0.0052156311573232,19.1489361702128,41.1764705882353
