"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Ccl5","Adult reinfected",3.26396411951428,2.01709778341915,40163,0.817983706720978,2.67938711943909e-14,2.67134895808077e-11,84.826883910387,46
"H2-K1","Adult reinfected",2.33915919902233,0.923993617502411,34498,0.702606924643585,1.22027040437421e-06,0.000243321918632218,83.5030549898167,56
"Itm2b","Adult reinfected",1.98736489762684,0.747909627244293,32638.5,0.664735234215886,7.42203672114692e-05,0.0061664755091529,76.9857433808554,52
"Il18r1","Adult reinfected",0.865800414866022,0.70772720058735,32386.5,0.659602851323829,1.13009849423103e-05,0.00125189799860926,38.9002036659878,6
"Cd8a","Adult reinfected",1.99363826579417,0.657685343523167,31078,0.632953156822811,0.00141482000053427,0.0470191846844222,79.4297352342159,54
"Ltb","Adult reinfected",0.671478498609664,0.533381862781304,30732.5,0.62591649694501,0.00022567321451576,0.0121724891477716,31.7718940936864,6
"Clec2d","Adult reinfected",0.856146409405111,0.512324022743691,30617.5,0.62357433808554,0.00086786530516143,0.0320467299720721,41.4460285132383,14
