"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Ccl11","Neonate IFN and RSV reinfected",0.118278263786596,-0.704279136089684,320,0.303030303030303,0.000102293216435858,0.0250219286794197,7.29166666666667,45.4545454545455
"Bmp5","Neonate IFN and RSV reinfected",0.0672081895390931,-0.749727161708832,354,0.335227272727273,9.51516061440743e-05,0.0250219286794197,4.16666666666667,36.3636363636364
"Mgp","Neonate IFN and RSV reinfected",0.47787287358708,-1.33036190706645,209.5,0.198390151515152,6.68175494308004e-05,0.0250219286794197,25,81.8181818181818
