"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Ccl5","Neonate IFN and RSV reinfected",2.47930036931986,1.23243403322474,15812,0.717097505668934,3.91247581915409e-07,0.000195036919584831,78.4580498866213,46
"B2m","Neonate IFN and RSV reinfected",3.13450047307672,0.890341972009246,16109,0.730566893424036,8.93135630619044e-08,8.90456223727187e-05,95.4648526077097,76
"Ltb","Neonate IFN and RSV reinfected",0.727288683719048,0.589192047890687,14269.5,0.647142857142857,4.81284582150172e-05,0.0159946909467907,36.5079365079365,6
