"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"H2-K1","Adult reinfected",1.93237056828132,0.572718345029125,1275065,0.612127083586373,4.22859822526508e-13,2.10795621529464e-10,59.6214511041009,48.6227362654086
"Chil1","Adult reinfected",1.14981332080234,-0.642646141569445,828711.5,0.397843838258825,1.82758324372704e-10,4.55525123498964e-08,36.9085173501577,60.1887079592147
"Lcn2","Adult reinfected",1.13475534516692,-1.23468362679978,639483.5,0.307000168506395,5.27677671456304e-32,5.26094638441935e-29,35.3312302839117,72.4090701567494
