"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Pparg","Adult RSV infected",0,-0.568876864865184,339,0.428571428571429,6.82625972396117e-05,0.00972254420684184,0,14.2857142857143
"Ccl17","Adult RSV infected",0.0232403002192863,-0.646023776983161,287,0.36283185840708,7.77066890099423e-06,0.00387367844714562,0.884955752212389,28.5714285714286
"Osmr","Adult RSV infected",0.0500683886390784,-0.722365307674956,289.5,0.365992414664981,0.000145478981251426,0.0145042544307671,1.76991150442478,28.5714285714286
"Notch1","Adult RSV infected",0.0271130292945635,-0.743173039088443,287,0.36283185840708,7.77066890099423e-06,0.00387367844714562,0.884955752212389,28.5714285714286
"Tyk2","Adult RSV infected",0.053099103491901,-0.807289240645955,289.5,0.365992414664981,0.000145478981251426,0.0145042544307671,1.76991150442478,28.5714285714286
"Cd28","Adult RSV infected",0.0400400026921965,-0.809765568339759,287.5,0.36346396965866,0.000108534343458116,0.0135260925534677,1.76991150442478,28.5714285714286
