"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Tpt1","Adult reinfected",1.70216050197611,0.619050609350324,787894,0.617661538654508,4.11874415244445e-15,1.36879597332904e-12,54.5741324921136,39.6371769383698
"Lcn2","Adult reinfected",1.13475534516692,-0.967944280609983,445727,0.349423177026171,4.87098722193954e-20,2.42818713013686e-17,35.3312302839117,65.6809145129225
"Chil1","Adult reinfected",1.14981332080234,-1.03218364465019,423789.5,0.332225495606801,2.66864618210801e-24,2.66064024356169e-21,36.9085173501577,67.8429423459245
