"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison","database","direction"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",199,-0.336920689169652,-2.03066112395986,1.23572625254395e-09,2.4714525050879e-09,3.12183474326892e-10,3771,"tags=38%, list=19%, signal=31%","Donson/Asf1a/Pttg1/Tacc3/Mcm5/Nop56/Xpo1/Phf5a/Mcm7/Ncapd2/Bub1b/Rpa3/Exosc8/Usp1/Rfc2/Cdca3/Rad50/Ezh2/Rrm2/Cdk1/Nup205/Mcm2/Smc6/Ssrp1/Cnot9/Eed/Cdkn2c/Racgap1/Trp53/Ilf3/Lbr/Msh2/Nolc1/Slbp/Nme1/Pole4/Dnmt1/Nup153/Ipo7/Ddx39a/Mcm6/Prdx4/Ctps/Stag1/Jpt1/Anp32e/Dut/Smc1a/Tmpo/Luc7l3/Mki67/Ube2s/Ran/Eif2s1/Prps1/Ranbp1/Cdk4/Cdkn1b/Cbx5/Paics/Hnrnpd/Naa38/Stmn1/Syncrip/Lmnb1/Nap1l1/Srsf2/Rbbp7/Pcna/Tubb5/Dek/Hmgb2/Smc3/Snrpb/Srsf1/H2az1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Hallmark","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",200,-0.324565504966051,-1.9700377884814,3.940951183302e-09,7.57875227558077e-09,9.57316076915465e-10,3925,"tags=42%, list=20%, signal=34%","Med24/Pfkp/Cenpa/G6pdx/Il13ra1/Chpf/Pcx/Nol3/Gfus/Paxip1/Zfp292/Aldh9a1/Rars/Cxcr4/P4ha2/Ddit4/Kdelr3/Pmm2/Slc25a10/Slc35a3/Tgfbi/Sdhc/Cdk1/Kif20a/Pdk3/Fut8/Gne/Eno1/Pygl/Fam162a/Gclc/Elf3/Rpe/Psmc4/Hax1/B3gat3/Mdh1/Ext1/Dld/Plod1/Ext2/Agrn/Gmppb/Glrx/P4ha1/Hdlbp/Pygb/Ppp2cb/Ero1a/Ugp2/Col5a1/Tpi1/Pgk1/Sdc3/Ier3/Pgam1/Prps1/Ndufv3/Ldha/Taldo1/Gusb/Gfpt1/Dcn/Idh1/Sdc1/Stmn1/Isg20/Cyb5a/Fkbp4/Gpc3/Copb2/Txn1/Vegfa/Arpp19/B4galt1/Mdh2/Cd44/Hspa5/Qsox1/Ppia/Pkm/Akr1a1/Aldoa/Sod1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Hallmark","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",144,-0.363793390430147,-2.14740529375616,8.51764385379354e-09,1.57734145440621e-08,1.9924313108289e-09,3388,"tags=35%, list=17%, signal=29%","Syne1/Abcc1/Adgrl2/Notch2/Add3/Insig1/Dyrk1a/Runx1/Akt3/Pik3cd/Id1/Nrp1/Tjp1/Aggf1/Atp2b4/Pmp22/Mapk14/Mgll/Nr1d2/Atrx/Serpine1/Fyn/Bmpr1a/Apbb2/Atp2c1/Fbln5/Ptprm/Dab2/Ccn1/Dlg1/Efemp1/Nfkb1/Nek7/Igfbp5/Pten/Spop/Cdkn1b/Atp2b1/Cav1/Lamc1/Bhlhe40/Smad7/Col5a2/Tgfbr2/Sri/Nfib/Anxa2/Col1a2/Col3a1/Col1a1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Hallmark","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",196,-0.328949478646854,-1.96048849639662,1.00168094069908e-08,1.78871596553407e-08,2.25943069330619e-09,3508,"tags=38%, list=18%, signal=32%","Ldlr/Ackr3/Dnajb4/Ptpre/Hbegf/Nfkb2/Tnip2/Klf4/Klf9/Spsb1/Tgif1/Efna1/Klf10/Zfp36/Gadd45b/Mxd1/Plau/Plk2/Csf1/Gch1/Nfat5/Tank/Ier2/Trib1/Dennd5a/Tnip1/Map2k3/Trip10/Tnfaip2/Ier5/Ets2/Jag1/Pnrc1/Nampt/Traf1/Serpine1/Dram1/Ifngr2/Plek/Ehd1/Ccn1/Btg3/Ier3/Nfkb1/Nfe2l2/Abca1/Tap1/Sdc4/Atp2b1/Ccl5/Klf6/Tsc22d1/Socs3/Hes1/Jun/Phlda1/Nfkbia/Bhlhe40/Tnc/Vegfa/Irf1/Btg1/Pmepa1/Btg2/Icam1/B4galt1/Junb/Cd44/Eif1/Litaf/Il6st/Mcl1/Ccnd1/Id2/Sqstm1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Hallmark","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",75,-0.472268015701751,-2.52266568581457,1.87856398998232e-08,3.21436115525032e-08,4.06024566978988e-09,2241,"tags=35%, list=11%, signal=31%","Fbxo6/Stx5a/Jag1/Pnrc1/Fads2/Atf5/Plscr1/Sqle/Fasn/Ebp/Srebf2/Gusb/Ech1/Scd1/Scd2/Mal2/Lgals3/Cxcl16/Cd9/Alcam/Ctnnb1/Actg1/Anxa5/S100a11/Clu/Lgmn","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Hallmark","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",102,-0.414910761790841,-2.32902975878875,1.92861669315019e-08,3.21436115525032e-08,4.06024566978988e-09,3126,"tags=40%, list=16%, signal=34%","Eci2/Dhcr24/Slc35b2/Pex13/Ercc3/Slc25a4/Sema3c/Msh2/Hsd17b4/Dhrs3/Ctps/Cadm1/Vps4b/Scp2/Prdx1/Acox1/Cdk7/Hras/Hsd17b11/Acsl1/Ide/Acsl4/Acsl5/Lonp2/Ywhah/Ctbp1/Abcd3/Idh1/Bcl10/Mvp/Ech1/Cat/Idh2/Tspo/Fads1/Scgb1a1/Fis1/Cnbp/Prdx5/Sod1/Pabpc1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Hallmark","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",157,-0.343127392979484,-2.08563301570773,2.39577171755643e-08,3.86414793154263e-08,4.88102896615911e-09,2773,"tags=34%, list=14%, signal=29%","Slc6a8/Slc25a4/Grpel1/Gch1/Mark2/Prkaca/Stip1/Maoa/Ago2/Cdc34/Dnajb1/Ppp1r2/Ppt1/Tst/Grina/Bak1/Stk25/Creg1/Arrb2/Btg3/Lyn/Hmox1/Alas1/Tap1/Ephx1/Ap2s1/Mrpl23/Cyb5b/Rpn1/Epcam/Fkbp4/Nfkbia/Selenow/Irf1/Btg1/Btg2/Icam1/Ctsl/Gls/Mgat1/Junb/Furin/Cltb/Eif2s3x/Il6st/Gpx3/H2-Q1/Bsg/Aldoa/Mmp14/Sqstm1/Tmbim6/Hnrnpu","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Hallmark","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",199,-0.317752730682593,-1.91513355507926,3.19969830760825e-08,4.99952860563788e-08,6.31519402817417e-09,3523,"tags=37%, list=18%, signal=31%","Map3k1/Zfp292/Bcl2/Ackr3/Cxcr4/P4ha2/Ddit4/Ndst1/Kdelr3/Nedd4l/Tgfbi/Efna1/Zfp36/Pgm1/Ndrg1/Pdk3/Bnip3l/Gcnt2/Kdm3a/Lxn/Eno1/Fam162a/Nagk/Ext1/Pdgfb/Gaa/Pnrc1/Gapdh/Glrx/P4ha1/Serpine1/Ets1/Xpnpep1/Hdlbp/Tgfb3/Ero1a/Ugp2/Col5a1/Tpi1/Pgk1/Rbpj/Hk1/Sdc3/Ccn1/Plac8/Ier3/Hmox1/Scarb1/Ldha/Gpi1/Plin2/Cdkn1b/Sdc4/Dcn/Cav1/Klf6/Slc6a6/Isg20/Jun/Lox/Gpc3/Bhlhe40/Cavin1/Vegfa/Btg1/Cp/Myh9/S100a4/Tgm2/Hspa5/Anxa2/Prdx5/Aldoa/Bgn","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Hallmark","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",201,-0.300761481770152,-1.82357379885131,8.63585310449555e-08,1.30846259159023e-07,1.65279485253503e-08,2732,"tags=29%, list=14%, signal=25%","Cbr1/Gcnt2/Gch1/Pink1/Gclc/Pts/Pros1/Maoa/Nmt1/Ets2/Adh5/Ddah2/Aco2/Serpine1/Acox1/Cyp2s1/Fbln1/Ugdh/Adh1/Sar1b/Hmox1/Cyfip2/Xdh/Psmb10/Gsto1/Alas1/Ephx1/Idh1/Slc6a6/Cndp2/Ech1/Tnfrsf1a/Ptgr1/Cyb5a/Gabarapl1/Slc1a5/Comt/Cat/Ssr3/Por/Hes6/Gsta3/Hprt/Jup/Arpp19/Dcxr/Igf1/Irf8/Ptges3/Cd36/Ces1d/Aldh2/Atp2a2/Id2/Igfbp4/Tmbim6/Tmem176b/Apoe","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Hallmark","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",201,-0.298623720135723,-1.8106121453783,1.0840718562648e-07,1.59422331803647e-07,2.01375577015133e-08,2776,"tags=29%, list=14%, signal=25%","Flii/Slc6a8/Mef2a/Fst/Notch1/Col6a2/Svil/Ablim1/Dapk2/Denn2b/Mapre3/Mef2d/Ptp4a3/Gaa/Sorbs3/Agrn/Nav2/Prnp/Akt2/Myh11/Itgb5/Acsl1/Sod3/Gabarapl2/Des/Ak1/Mylk/Aebp1/Plxnb2/Bag1/Cryab/Dmpk/Scd1/Bhlhe40/Scd2/Cnn3/Tpm3/Tpm2/Atp6ap1/Igf1/Col6a3/Myh9/Eif4a2/Cd36/Col4a2/Gsn/Tagln/App/Myo1c/Gpx3/Fhl1/Sptan1/Itgb1/Sparc/Clu/Igfbp7/Col3a1/Col1a1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Hallmark","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
